




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
DNA metabolic process (GO:0006259)	752	1	.07	+	13.96	7.04E-02	1.00E00
regulation of establishment of protein localization (GO:0070201)	763	1	.07	+	13.76	7.14E-02	1.00E00
regulation of secretion by cell (GO:1903530)	764	1	.07	+	13.74	7.15E-02	1.00E00
regulation of cellular localization (GO:0060341)	813	1	.08	+	12.91	7.60E-02	1.00E00
regulation of secretion (GO:0051046)	821	1	.08	+	12.79	7.68E-02	1.00E00
circulatory system development (GO:0072359)	872	1	.08	+	12.04	8.14E-02	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	880	1	.08	+	11.93	8.22E-02	1.00E00
negative regulation of apoptotic process (GO:0043066)	902	1	.09	+	11.64	8.42E-02	1.00E00
negative regulation of programmed cell death (GO:0043069)	917	1	.09	+	11.45	8.55E-02	1.00E00
positive regulation of cell population proliferation (GO:0008284)	922	1	.09	+	11.39	8.60E-02	1.00E00
cellular lipid metabolic process (GO:0044255)	949	1	.09	+	11.06	8.84E-02	1.00E00
oxidation-reduction process (GO:0055114)	964	1	.09	+	10.89	8.98E-02	1.00E00
positive regulation of cell differentiation (GO:0045597)	978	1	.09	+	10.73	9.11E-02	1.00E00
cell cycle process (GO:0022402)	986	1	.09	+	10.65	9.18E-02	1.00E00
negative regulation of cell death (GO:0060548)	1006	1	.10	+	10.44	9.36E-02	1.00E00
positive regulation of transport (GO:0051050)	1007	1	.10	+	10.43	9.37E-02	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	1026	1	.10	+	10.23	9.54E-02	1.00E00
regulation of protein localization (GO:0032880)	1038	1	.10	+	10.11	9.65E-02	1.00E00
chromosome organization (GO:0051276)	1055	1	.10	+	9.95	9.81E-02	1.00E00
cell-cell signaling (GO:0007267)	1111	1	.11	+	9.45	1.03E-01	1.00E00
chemical homeostasis (GO:0048878)	1125	1	.11	+	9.33	1.04E-01	1.00E00
negative regulation of molecular function (GO:0044092)	1166	1	.11	+	9.00	1.08E-01	1.00E00
lipid metabolic process (GO:0006629)	1199	1	.11	+	8.76	1.11E-01	1.00E00
regulation of cell cycle (GO:0051726)	1206	1	.11	+	8.70	1.12E-01	1.00E00
negative regulation of transcription, DNA-templated (GO:0045892)	1208	1	.12	+	8.69	1.12E-01	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	1	.12	+	8.66	1.12E-01	1.00E00
negative regulation of nucleic acid-templated transcription (GO:1903507)	1261	1	.12	+	8.33	1.17E-01	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	1263	1	.12	+	8.31	1.17E-01	1.00E00
negative regulation of signal transduction (GO:0009968)	1268	1	.12	+	8.28	1.17E-01	1.00E00
cell cycle (GO:0007049)	1328	1	.13	+	7.91	1.23E-01	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	1354	1	.13	+	7.75	1.25E-01	1.00E00
negative regulation of cell communication (GO:0010648)	1367	1	.13	+	7.68	1.26E-01	1.00E00
negative regulation of signaling (GO:0023057)	1371	1	.13	+	7.66	1.26E-01	1.00E00
positive regulation of developmental process (GO:0051094)	1373	1	.13	+	7.65	1.27E-01	1.00E00
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1399	1	.13	+	7.50	1.29E-01	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1456	1	.14	+	7.21	1.34E-01	1.00E00
protein-containing complex assembly (GO:0065003)	1466	1	.14	+	7.16	1.35E-01	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	1481	1	.14	+	7.09	1.36E-01	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	1539	1	.15	+	6.82	1.41E-01	1.00E00
positive regulation of transcription, DNA-templated (GO:0045893)	1553	1	.15	+	6.76	1.43E-01	1.00E00
negative regulation of biosynthetic process (GO:0009890)	1566	1	.15	+	6.70	1.44E-01	1.00E00
regulation of apoptotic process (GO:0042981)	1567	1	.15	+	6.70	1.44E-01	1.00E00
regulation of programmed cell death (GO:0043067)	1587	1	.15	+	6.61	1.46E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	1599	1	.15	+	6.57	1.47E-01	1.00E00
regulation of cell population proliferation (GO:0042127)	1629	1	.16	+	6.44	1.49E-01	1.00E00
negative regulation of response to stimulus (GO:0048585)	1640	1	.16	+	6.40	1.50E-01	1.00E00
positive regulation of nucleic acid-templated transcription (GO:1903508)	1651	1	.16	+	6.36	1.51E-01	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	1652	1	.16	+	6.35	1.51E-01	1.00E00
homeostatic process (GO:0042592)	1658	1	.16	+	6.33	1.52E-01	1.00E00
positive regulation of signal transduction (GO:0009967)	1691	1	.16	+	6.21	1.55E-01	1.00E00
protein-containing complex subunit organization (GO:0043933)	1707	1	.16	+	6.15	1.56E-01	1.00E00
regulation of cell death (GO:0010941)	1711	1	.16	+	6.14	1.56E-01	1.00E00
small molecule metabolic process (GO:0044281)	1719	1	.16	+	6.11	1.57E-01	1.00E00
positive regulation of protein metabolic process (GO:0051247)	1722	1	.16	+	6.10	1.57E-01	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	1736	1	.17	+	6.05	1.59E-01	1.00E00
negative regulation of gene expression (GO:0010629)	1738	1	.17	+	6.04	1.59E-01	1.00E00
positive regulation of multicellular organismal process (GO:0051240)	1762	1	.17	+	5.96	1.61E-01	1.00E00
positive regulation of molecular function (GO:0044093)	1797	1	.17	+	5.84	1.64E-01	1.00E00
regulation of cell differentiation (GO:0045595)	1824	1	.17	+	5.76	1.66E-01	1.00E00
regulation of intracellular signal transduction (GO:1902531)	1834	1	.17	+	5.72	1.67E-01	1.00E00
positive regulation of cell communication (GO:0010647)	1842	1	.18	+	5.70	1.68E-01	1.00E00
positive regulation of signaling (GO:0023056)	1851	1	.18	+	5.67	1.69E-01	1.00E00
regulation of transport (GO:0051049)	1877	1	.18	+	5.59	1.71E-01	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1897	1	.18	+	5.53	1.73E-01	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	1919	1	.18	+	5.47	1.75E-01	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	2007	1	.19	+	5.23	1.82E-01	1.00E00
positive regulation of gene expression (GO:0010628)	2011	1	.19	+	5.22	1.82E-01	1.00E00
positive regulation of biosynthetic process (GO:0009891)	2039	1	.19	+	5.15	1.85E-01	1.00E00
regulation of multicellular organismal development (GO:2000026)	2047	1	.19	+	5.13	1.86E-01	1.00E00
nucleic acid metabolic process (GO:0090304)	2289	1	.22	+	4.59	2.06E-01	1.00E00
regulation of transcription by RNA polymerase II (GO:0006357)	2294	1	.22	+	4.58	2.07E-01	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	2369	1	.23	+	4.43	2.13E-01	1.00E00
cell surface receptor signaling pathway (GO:0007166)	2417	1	.23	+	4.34	2.17E-01	1.00E00
positive regulation of response to stimulus (GO:0048584)	2461	1	.23	+	4.27	2.21E-01	1.00E00
cellular component assembly (GO:0022607)	2473	1	.24	+	4.25	2.22E-01	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	2567	1	.24	+	4.09	2.30E-01	1.00E00
regulation of developmental process (GO:0050793)	2592	1	.25	+	4.05	2.32E-01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	2666	1	.25	+	3.94	2.38E-01	1.00E00
cellular component biogenesis (GO:0044085)	2699	1	.26	+	3.89	2.41E-01	1.00E00
cellular biosynthetic process (GO:0044249)	2773	1	.26	+	3.79	2.47E-01	1.00E00
regulation of localization (GO:0032879)	2790	1	.27	+	3.76	2.48E-01	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	2804	1	.27	+	3.74	2.49E-01	1.00E00
regulation of protein metabolic process (GO:0051246)	2804	1	.27	+	3.74	2.49E-01	1.00E00
organic substance biosynthetic process (GO:1901576)	2878	1	.27	+	3.65	2.55E-01	1.00E00
negative regulation of metabolic process (GO:0009892)	2918	1	.28	+	3.60	2.59E-01	1.00E00
biosynthetic process (GO:0009058)	2954	1	.28	+	3.55	2.62E-01	1.00E00
heterocycle metabolic process (GO:0046483)	2983	1	.28	+	3.52	2.64E-01	1.00E00
response to organic substance (GO:0010033)	3019	1	.29	+	3.48	2.67E-01	1.00E00
regulation of molecular function (GO:0065009)	3022	1	.29	+	3.47	2.67E-01	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	3027	1	.29	+	3.47	2.68E-01	1.00E00
regulation of multicellular organismal process (GO:0051239)	3147	1	.30	+	3.34	2.77E-01	1.00E00
regulation of signal transduction (GO:0009966)	3154	1	.30	+	3.33	2.78E-01	1.00E00
animal organ development (GO:0048513)	3197	1	.30	+	3.28	2.81E-01	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	3203	1	.31	+	3.28	2.82E-01	1.00E00
organic cyclic compound metabolic process (GO:1901360)	3261	1	.31	+	3.22	2.87E-01	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	3344	1	.32	+	3.14	2.93E-01	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	3375	1	.32	+	3.11	2.96E-01	1.00E00
organelle organization (GO:0006996)	3418	1	.33	+	3.07	2.99E-01	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	3454	1	.33	+	3.04	3.02E-01	1.00E00
regulation of transcription, DNA-templated (GO:0006355)	3467	1	.33	+	3.03	3.03E-01	1.00E00
regulation of nucleic acid-templated transcription (GO:1903506)	3534	1	.34	+	2.97	3.08E-01	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	3539	1	.34	+	2.97	3.09E-01	1.00E00
regulation of cell communication (GO:0010646)	3540	1	.34	+	2.97	3.09E-01	1.00E00
regulation of signaling (GO:0023051)	3581	1	.34	+	2.93	3.12E-01	1.00E00
positive regulation of metabolic process (GO:0009893)	3650	1	.35	+	2.88	3.18E-01	1.00E00
cell differentiation (GO:0030154)	3710	1	.35	+	2.83	3.22E-01	1.00E00
primary metabolic process (GO:0044238)	7501	2	.71	+	2.80	1.28E-01	1.00E00
regulation of RNA metabolic process (GO:0051252)	3785	1	.36	+	2.77	3.28E-01	1.00E00
cellular developmental process (GO:0048869)	3806	1	.36	+	2.76	3.30E-01	1.00E00
cellular metabolic process (GO:0044237)	7671	2	.73	+	2.74	1.34E-01	1.00E00
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3908	1	.37	+	2.69	3.38E-01	1.00E00
organic substance metabolic process (GO:0071704)	7874	2	.75	+	2.67	1.41E-01	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4040	1	.38	+	2.60	3.48E-01	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	4046	1	.39	+	2.59	3.48E-01	1.00E00
regulation of biological quality (GO:0065008)	4073	1	.39	+	2.58	3.50E-01	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	4185	1	.40	+	2.51	3.59E-01	1.00E00
metabolic process (GO:0008152)	8428	2	.80	+	2.49	1.61E-01	1.00E00
regulation of biosynthetic process (GO:0009889)	4264	1	.41	+	2.46	3.65E-01	1.00E00
regulation of response to stimulus (GO:0048583)	4331	1	.41	+	2.42	3.70E-01	1.00E00
system development (GO:0048731)	4424	1	.42	+	2.37	3.77E-01	1.00E00
regulation of gene expression (GO:0010468)	4463	1	.43	+	2.35	3.80E-01	1.00E00
response to chemical (GO:0042221)	4485	1	.43	+	2.34	3.82E-01	1.00E00
negative regulation of cellular process (GO:0048523)	4754	1	.45	+	2.21	4.02E-01	1.00E00
multicellular organism development (GO:0007275)	5026	1	.48	+	2.09	4.22E-01	1.00E00
signal transduction (GO:0007165)	5061	1	.48	+	2.07	4.24E-01	1.00E00
cellular macromolecule metabolic process (GO:0044260)	5083	1	.48	+	2.07	4.26E-01	1.00E00
negative regulation of biological process (GO:0048519)	5333	1	.51	+	1.97	4.44E-01	1.00E00
signaling (GO:0023052)	5393	1	.51	+	1.95	4.48E-01	1.00E00
anatomical structure development (GO:0048856)	5422	1	.52	+	1.94	4.50E-01	1.00E00
positive regulation of cellular process (GO:0048522)	5465	1	.52	+	1.92	4.53E-01	1.00E00
cell communication (GO:0007154)	5500	1	.52	+	1.91	4.55E-01	1.00E00
cellular component organization (GO:0016043)	5642	1	.54	+	1.86	4.65E-01	1.00E00
cellular component organization or biogenesis (GO:0071840)	5830	1	.56	+	1.80	4.78E-01	1.00E00
regulation of nitrogen compound metabolic process (GO:0051171)	5839	1	.56	+	1.80	4.79E-01	1.00E00
developmental process (GO:0032502)	5862	1	.56	+	1.79	4.80E-01	1.00E00
regulation of primary metabolic process (GO:0080090)	6023	1	.57	+	1.74	4.91E-01	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	6160	1	.59	+	1.70	5.01E-01	1.00E00
macromolecule metabolic process (GO:0043170)	6193	1	.59	+	1.70	5.03E-01	1.00E00
positive regulation of biological process (GO:0048518)	6214	1	.59	+	1.69	5.04E-01	1.00E00
regulation of cellular metabolic process (GO:0031323)	6216	1	.59	+	1.69	5.05E-01	1.00E00
regulation of metabolic process (GO:0019222)	6690	1	.64	+	1.57	5.36E-01	1.00E00
cellular response to stimulus (GO:0051716)	6703	1	.64	+	1.57	5.37E-01	1.00E00
multicellular organismal process (GO:0032501)	6973	1	.66	+	1.51	5.54E-01	1.00E00
nitrogen compound metabolic process (GO:0006807)	7023	1	.67	+	1.49	1.00E00	1.00E00
cellular process (GO:0009987)	14575	2	1.39	+	1.44	1.00E00	1.00E00
response to stimulus (GO:0050896)	8495	1	.81	+	1.24	1.00E00	1.00E00
biological_process (GO:0008150)	17840	2	1.70	+	1.18	1.00E00	1.00E00
regulation of cellular process (GO:0050794)	10981	1	1.05	-	.96	1.00E00	1.00E00
regulation of biological process (GO:0050789)	11688	1	1.11	-	.90	1.00E00	1.00E00
biological regulation (GO:0065007)	12387	1	1.18	-	.85	1.00E00	1.00E00
ion transmembrane transport (GO:0034220)	913	0	.09	-	 < 0.01	1.00E00	1.00E00
respiratory burst involved in defense response (GO:0002679)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
response to lead ion (GO:0010288)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chronic inflammatory response (GO:0002678)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of chronic inflammatory response (GO:0002677)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
heat acclimation (GO:0010286)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of chronic inflammatory response (GO:0002676)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of acute inflammatory response (GO:0002675)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of acute inflammatory response (GO:0002674)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of acute inflammatory response (GO:0002673)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
protein hexamerization (GO:0034214)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
quinolinate catabolic process (GO:0034213)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell anergy (GO:0002669)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T cell anergy (GO:0002667)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell tolerance induction (GO:0002666)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T cell tolerance induction (GO:0002664)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
detoxification of copper ion (GO:0010273)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell tolerance induction (GO:0002663)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to silver ion (GO:0010272)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of B cell tolerance induction (GO:0002661)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of peripheral tolerance induction (GO:0002660)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid-beta formation (GO:0034205)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid translocation (GO:0034204)	47	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid translocation (GO:0034203)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to oleic acid (GO:0034201)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
response to selenium ion (GO:0010269)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peripheral tolerance induction (GO:0002658)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to vitamin B1 (GO:0010266)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction dependent upon immune response (GO:0002654)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction dependent upon immune response (GO:0002652)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction to self antigen (GO:0002651)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
animal organ senescence (GO:0010260)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin assembly or disassembly (GO:0045799)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
