




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
prostaglandin receptor activity (GO:0004955)	10	1	.02	+	63.62	1.71E-02	1.00E00
potassium ion binding (GO:0030955)	11	1	.02	+	57.84	1.87E-02	1.00E00
diacylglycerol kinase activity (GO:0004143)	11	1	.02	+	57.84	1.87E-02	1.00E00
prostanoid receptor activity (GO:0004954)	11	1	.02	+	57.84	1.87E-02	1.00E00
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	12	1	.02	+	53.02	2.02E-02	1.00E00
gamma-catenin binding (GO:0045295)	13	1	.02	+	48.94	2.18E-02	1.00E00
outward rectifier potassium channel activity (GO:0015271)	13	1	.02	+	48.94	2.18E-02	1.00E00
protein kinase A catalytic subunit binding (GO:0034236)	13	1	.02	+	48.94	2.18E-02	1.00E00
long-chain fatty acid binding (GO:0036041)	14	1	.02	+	45.45	2.33E-02	1.00E00
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	15	1	.02	+	42.42	2.48E-02	1.00E00
icosanoid receptor activity (GO:0004953)	15	1	.02	+	42.42	2.48E-02	1.00E00
alpha-mannosidase activity (GO:0004559)	16	1	.03	+	39.77	2.64E-02	1.00E00
alkali metal ion binding (GO:0031420)	16	1	.03	+	39.77	2.64E-02	1.00E00
mannosidase activity (GO:0015923)	17	1	.03	+	37.43	2.79E-02	1.00E00
NAD+ kinase activity (GO:0003951)	17	1	.03	+	37.43	2.79E-02	1.00E00
cytoskeletal adaptor activity (GO:0008093)	17	1	.03	+	37.43	2.79E-02	1.00E00
RNA polymerase II repressing transcription factor binding (GO:0001103)	35	2	.06	+	36.36	1.54E-03	1.00E00
retinoid X receptor binding (GO:0046965)	18	1	.03	+	35.35	2.94E-02	1.00E00
proteasome binding (GO:0070628)	18	1	.03	+	35.35	2.94E-02	1.00E00
ankyrin binding (GO:0030506)	20	1	.03	+	31.81	3.25E-02	1.00E00
protein phosphatase 1 binding (GO:0008157)	20	1	.03	+	31.81	3.25E-02	1.00E00
inward rectifier potassium channel activity (GO:0005242)	20	1	.03	+	31.81	3.25E-02	1.00E00
DNA binding, bending (GO:0008301)	21	1	.03	+	30.30	3.40E-02	1.00E00
protein kinase A regulatory subunit binding (GO:0034237)	21	1	.03	+	30.30	3.40E-02	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	22	1	.03	+	28.92	3.55E-02	1.00E00
TBP-class protein binding (GO:0017025)	23	1	.04	+	27.66	3.70E-02	1.00E00
SUMO transferase activity (GO:0019789)	23	1	.04	+	27.66	3.70E-02	1.00E00
ferrous iron binding (GO:0008198)	24	1	.04	+	26.51	3.85E-02	1.00E00
repressing transcription factor binding (GO:0070491)	72	3	.11	+	26.51	2.20E-04	1.00E00
mRNA 5'-UTR binding (GO:0048027)	25	1	.04	+	25.45	4.00E-02	1.00E00
hydrolase activity, hydrolyzing N-glycosyl compounds (GO:0016799)	25	1	.04	+	25.45	4.00E-02	1.00E00
retinoic acid receptor binding (GO:0042974)	27	1	.04	+	23.56	4.30E-02	1.00E00
spectrin binding (GO:0030507)	28	1	.04	+	22.72	4.46E-02	1.00E00
fatty acid derivative binding (GO:1901567)	28	1	.04	+	22.72	4.46E-02	1.00E00
actin monomer binding (GO:0003785)	29	1	.05	+	21.94	4.61E-02	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	31	1	.05	+	20.52	4.90E-02	1.00E00
alpha-actinin binding (GO:0051393)	31	1	.05	+	20.52	4.90E-02	1.00E00
delayed rectifier potassium channel activity (GO:0005251)	33	1	.05	+	19.28	5.20E-02	1.00E00
translation initiation factor binding (GO:0031369)	34	1	.05	+	18.71	5.35E-02	1.00E00
nuclear receptor transcription coactivator activity (GO:0030374)	69	2	.11	+	18.44	5.55E-03	9.29E-01
fatty acid binding (GO:0005504)	38	1	.06	+	16.74	5.95E-02	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	38	1	.06	+	16.74	5.95E-02	1.00E00
transition metal ion transmembrane transporter activity (GO:0046915)	39	1	.06	+	16.31	6.09E-02	1.00E00
demethylase activity (GO:0032451)	39	1	.06	+	16.31	6.09E-02	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	39	1	.06	+	16.31	6.09E-02	1.00E00
divalent inorganic cation transmembrane transporter activity (GO:0072509)	39	1	.06	+	16.31	6.09E-02	1.00E00
actinin binding (GO:0042805)	40	1	.06	+	15.91	6.24E-02	1.00E00
ATPase binding (GO:0051117)	81	2	.13	+	15.71	7.51E-03	1.00E00
ubiquitin conjugating enzyme activity (GO:0061631)	41	1	.06	+	15.52	6.39E-02	1.00E00
ion channel binding (GO:0044325)	128	3	.20	+	14.91	1.12E-03	1.00E00
general transcription initiation factor binding (GO:0140296)	43	1	.07	+	14.80	6.68E-02	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	43	1	.07	+	14.80	6.68E-02	1.00E00
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	44	1	.07	+	14.46	6.83E-02	1.00E00
estrogen receptor binding (GO:0030331)	44	1	.07	+	14.46	6.83E-02	1.00E00
kinesin binding (GO:0019894)	44	1	.07	+	14.46	6.83E-02	1.00E00
voltage-gated potassium channel activity (GO:0005249)	88	2	.14	+	14.46	8.77E-03	9.80E-01
activating transcription factor binding (GO:0033613)	91	2	.14	+	13.98	9.35E-03	1.00E00
2-oxoglutarate-dependent dioxygenase activity (GO:0016706)	46	1	.07	+	13.83	7.12E-02	1.00E00
protein phosphatase binding (GO:0019903)	144	3	.23	+	13.26	1.57E-03	8.16E-01
nuclear receptor activity (GO:0004879)	49	1	.08	+	12.98	7.56E-02	1.00E00
ligand-activated transcription factor activity (GO:0098531)	49	1	.08	+	12.98	7.56E-02	1.00E00
protein kinase A binding (GO:0051018)	50	1	.08	+	12.72	7.71E-02	1.00E00
E-box binding (GO:0070888)	51	1	.08	+	12.48	7.85E-02	1.00E00
steroid hormone receptor activity (GO:0003707)	56	1	.09	+	11.36	8.57E-02	1.00E00
scaffold protein binding (GO:0097110)	57	1	.09	+	11.16	8.72E-02	1.00E00
protein self-association (GO:0043621)	58	1	.09	+	10.97	8.86E-02	1.00E00
calcium-dependent protein binding (GO:0048306)	62	1	.10	+	10.26	9.43E-02	1.00E00
potassium channel activity (GO:0005267)	125	2	.20	+	10.18	1.69E-02	1.00E00
phosphatase binding (GO:0019902)	189	3	.30	+	10.10	3.34E-03	9.22E-01
RNA polymerase II transcription factor binding (GO:0001085)	63	1	.10	+	10.10	9.58E-02	1.00E00
protein kinase inhibitor activity (GO:0004860)	63	1	.10	+	10.10	9.58E-02	1.00E00
catalytic activity, acting on a tRNA (GO:0140101)	127	2	.20	+	10.02	1.74E-02	1.00E00
metal cluster binding (GO:0051540)	66	1	.10	+	9.64	1.00E-01	1.00E00
iron-sulfur cluster binding (GO:0051536)	66	1	.10	+	9.64	1.00E-01	1.00E00
kinase inhibitor activity (GO:0019210)	67	1	.11	+	9.50	1.01E-01	1.00E00
monocarboxylic acid binding (GO:0033293)	70	1	.11	+	9.09	1.06E-01	1.00E00
voltage-gated cation channel activity (GO:0022843)	144	2	.23	+	8.84	2.20E-02	1.00E00
transferase activity, transferring sulfur-containing groups (GO:0016782)	73	1	.11	+	8.72	1.10E-01	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	76	1	.12	+	8.37	1.14E-01	1.00E00
nuclear hormone receptor binding (GO:0035257)	158	2	.25	+	8.05	2.60E-02	1.00E00
potassium ion transmembrane transporter activity (GO:0015079)	161	2	.25	+	7.90	2.69E-02	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	163	2	.26	+	7.81	2.76E-02	1.00E00
protein kinase activator activity (GO:0030295)	82	1	.13	+	7.76	1.22E-01	1.00E00
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	254	3	.40	+	7.51	7.51E-03	1.00E00
DNA-binding transcription repressor activity (GO:0001217)	254	3	.40	+	7.51	7.51E-03	1.00E00
beta-catenin binding (GO:0008013)	85	1	.13	+	7.49	1.27E-01	1.00E00
serine-type endopeptidase activity (GO:0004252)	173	2	.27	+	7.36	3.07E-02	1.00E00
kinase activator activity (GO:0019209)	89	1	.14	+	7.15	1.32E-01	1.00E00
DNA-binding transcription factor binding (GO:0140297)	369	4	.58	+	6.90	2.65E-03	1.00E00
dioxygenase activity (GO:0051213)	93	1	.15	+	6.84	1.38E-01	1.00E00
proximal promoter sequence-specific DNA binding (GO:0000987)	560	6	.88	+	6.82	2.21E-04	5.18E-01
mRNA 3'-UTR binding (GO:0003730)	94	1	.15	+	6.77	1.39E-01	1.00E00
steroid hormone receptor binding (GO:0035258)	94	1	.15	+	6.77	1.39E-01	1.00E00
hormone receptor binding (GO:0051427)	191	2	.30	+	6.66	3.67E-02	1.00E00
serine-type peptidase activity (GO:0008236)	195	2	.31	+	6.53	3.81E-02	1.00E00
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	98	1	.15	+	6.49	1.44E-01	1.00E00
voltage-gated channel activity (GO:0022832)	200	2	.31	+	6.36	3.99E-02	1.00E00
hydrolase activity, acting on acid phosphorus-nitrogen bonds (GO:0016825)	200	2	.31	+	6.36	3.99E-02	1.00E00
voltage-gated ion channel activity (GO:0005244)	200	2	.31	+	6.36	3.99E-02	1.00E00
serine hydrolase activity (GO:0017171)	200	2	.31	+	6.36	3.99E-02	1.00E00
calmodulin binding (GO:0005516)	201	2	.32	+	6.33	4.03E-02	1.00E00
protein C-terminus binding (GO:0008022)	204	2	.32	+	6.24	4.13E-02	1.00E00
ligand-gated cation channel activity (GO:0099094)	106	1	.17	+	6.00	1.55E-01	1.00E00
structural constituent of cytoskeleton (GO:0005200)	106	1	.17	+	6.00	1.55E-01	1.00E00
RNA polymerase II proximal promoter sequence-specific DNA binding (GO:0000978)	545	5	.86	+	5.84	1.56E-03	9.12E-01
phosphatidylinositol bisphosphate binding (GO:1902936)	111	1	.17	+	5.73	1.62E-01	1.00E00
nuclear receptor binding (GO:0016922)	115	1	.18	+	5.53	1.67E-01	1.00E00
hydrolase activity, acting on glycosyl bonds (GO:0016798)	122	1	.19	+	5.22	1.76E-01	1.00E00
heat shock protein binding (GO:0031072)	123	1	.19	+	5.17	1.77E-01	1.00E00
phosphatidylinositol binding (GO:0035091)	247	2	.39	+	5.15	5.80E-02	1.00E00
protein kinase binding (GO:0019901)	665	5	1.05	+	4.78	3.66E-03	9.55E-01
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1109	8	1.74	+	4.59	2.61E-04	4.08E-01
ligand-gated channel activity (GO:0022834)	140	1	.22	+	4.54	1.99E-01	1.00E00
transcription factor binding (GO:0008134)	700	5	1.10	+	4.54	4.55E-03	9.70E-01
ligand-gated ion channel activity (GO:0015276)	140	1	.22	+	4.54	1.99E-01	1.00E00
transcription regulatory region sequence-specific DNA binding (GO:0000976)	857	6	1.35	+	4.45	2.01E-03	9.43E-01
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	288	2	.45	+	4.42	7.57E-02	1.00E00
metal ion transmembrane transporter activity (GO:0046873)	446	3	.70	+	4.28	3.29E-02	1.00E00
kinase binding (GO:0019900)	747	5	1.17	+	4.26	5.97E-03	9.65E-01
translation regulator activity (GO:0045182)	150	1	.24	+	4.24	2.12E-01	1.00E00
sequence-specific double-stranded DNA binding (GO:1990837)	903	6	1.42	+	4.23	2.61E-03	1.00E00
iron ion binding (GO:0005506)	156	1	.25	+	4.08	2.19E-01	1.00E00
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	806	5	1.27	+	3.95	8.16E-03	9.57E-01
protein heterodimerization activity (GO:0046982)	484	3	.76	+	3.94	4.03E-02	1.00E00
transcription regulatory region DNA binding (GO:0044212)	974	6	1.53	+	3.92	3.79E-03	9.36E-01
regulatory region nucleic acid binding (GO:0001067)	975	6	1.53	+	3.92	3.81E-03	8.94E-01
RNA polymerase II regulatory region DNA binding (GO:0001012)	814	5	1.28	+	3.91	8.49E-03	9.72E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	165	1	.26	+	3.86	2.30E-01	1.00E00
double-stranded DNA binding (GO:0003690)	997	6	1.57	+	3.83	4.25E-03	9.49E-01
transcription coactivator activity (GO:0003713)	336	2	.53	+	3.79	9.82E-02	1.00E00
DNA-binding transcription factor activity (GO:0003700)	1366	8	2.15	+	3.73	1.04E-03	1.00E00
cation channel activity (GO:0005261)	343	2	.54	+	3.71	1.02E-01	1.00E00
gated channel activity (GO:0022836)	348	2	.55	+	3.66	1.04E-01	1.00E00
protein kinase regulator activity (GO:0019887)	183	1	.29	+	3.48	2.52E-01	1.00E00
transcription coregulator activity (GO:0003712)	585	3	.92	+	3.26	6.39E-02	1.00E00
transcription regulator activity (GO:0140110)	1765	9	2.77	+	3.24	1.27E-03	9.91E-01
monovalent inorganic cation transmembrane transporter activity (GO:0015077)	393	2	.62	+	3.24	1.27E-01	1.00E00
cytoskeletal protein binding (GO:0008092)	999	5	1.57	+	3.18	1.92E-02	1.00E00
catalytic activity, acting on RNA (GO:0140098)	402	2	.63	+	3.17	1.32E-01	1.00E00
inorganic cation transmembrane transporter activity (GO:0022890)	606	3	.95	+	3.15	6.95E-02	1.00E00
carboxylic acid binding (GO:0031406)	202	1	.32	+	3.15	2.74E-01	1.00E00
sequence-specific DNA binding (GO:0043565)	1216	6	1.91	+	3.14	1.09E-02	1.00E00
ubiquitin-like protein transferase activity (GO:0019787)	419	2	.66	+	3.04	1.41E-01	1.00E00
kinase regulator activity (GO:0019207)	213	1	.33	+	2.99	2.87E-01	1.00E00
organic acid binding (GO:0043177)	213	1	.33	+	2.99	2.87E-01	1.00E00
protein binding, bridging (GO:0030674)	213	1	.33	+	2.99	2.87E-01	1.00E00
phospholipid binding (GO:0005543)	428	2	.67	+	2.97	1.46E-01	1.00E00
cation transmembrane transporter activity (GO:0008324)	658	3	1.03	+	2.90	8.42E-02	1.00E00
protein homodimerization activity (GO:0042803)	880	4	1.38	+	2.89	4.83E-02	1.00E00
ion channel activity (GO:0005216)	440	2	.69	+	2.89	1.52E-01	1.00E00
catalytic activity, acting on DNA (GO:0140097)	221	1	.35	+	2.88	2.96E-01	1.00E00
endopeptidase activity (GO:0004175)	455	2	.72	+	2.80	1.61E-01	1.00E00
ubiquitin-like protein ligase activity (GO:0061659)	236	1	.37	+	2.70	3.12E-01	1.00E00
channel activity (GO:0015267)	482	2	.76	+	2.64	1.76E-01	1.00E00
passive transmembrane transporter activity (GO:0022803)	483	2	.76	+	2.63	1.76E-01	1.00E00
transcription corepressor activity (GO:0003714)	244	1	.38	+	2.61	3.21E-01	1.00E00
lipid binding (GO:0008289)	744	3	1.17	+	2.57	1.11E-01	1.00E00
molecular adaptor activity (GO:0060090)	255	1	.40	+	2.50	3.33E-01	1.00E00
microtubule binding (GO:0008017)	255	1	.40	+	2.50	3.33E-01	1.00E00
mRNA binding (GO:0003729)	262	1	.41	+	2.43	3.40E-01	1.00E00
protein dimerization activity (GO:0046983)	1322	5	2.08	+	2.41	5.41E-02	1.00E00
enzyme activator activity (GO:0008047)	530	2	.83	+	2.40	2.03E-01	1.00E00
GTPase activator activity (GO:0005096)	276	1	.43	+	2.31	3.55E-01	1.00E00
carbohydrate binding (GO:0030246)	277	1	.44	+	2.30	3.56E-01	1.00E00
inorganic molecular entity transmembrane transporter activity (GO:0015318)	831	3	1.31	+	2.30	1.41E-01	1.00E00
chromatin binding (GO:0003682)	555	2	.87	+	2.29	2.17E-01	1.00E00
transition metal ion binding (GO:0046914)	1122	4	1.76	+	2.27	9.79E-02	1.00E00
zinc ion binding (GO:0008270)	845	3	1.33	+	2.26	1.47E-01	1.00E00
enzyme binding (GO:0019899)	2255	8	3.54	+	2.26	2.11E-02	1.00E00
G protein-coupled receptor binding (GO:0001664)	287	1	.45	+	2.22	3.66E-01	1.00E00
protein-containing complex binding (GO:0044877)	1149	4	1.81	+	2.21	1.05E-01	1.00E00
ubiquitin protein ligase binding (GO:0031625)	296	1	.47	+	2.15	3.75E-01	1.00E00
ion transmembrane transporter activity (GO:0015075)	888	3	1.40	+	2.15	1.63E-01	1.00E00
peptide binding (GO:0042277)	302	1	.47	+	2.11	3.81E-01	1.00E00
GTPase regulator activity (GO:0030695)	307	1	.48	+	2.07	3.86E-01	1.00E00
identical protein binding (GO:0042802)	1849	6	2.91	+	2.06	6.59E-02	1.00E00
ubiquitin-like protein ligase binding (GO:0044389)	312	1	.49	+	2.04	3.91E-01	1.00E00
peptidase activity, acting on L-amino acid peptides (GO:0070011)	635	2	1.00	+	2.00	2.64E-01	1.00E00
cadherin binding (GO:0045296)	321	1	.50	+	1.98	3.99E-01	1.00E00
metal ion binding (GO:0046872)	4254	13	6.69	+	1.94	1.45E-02	1.00E00
peptidase activity (GO:0008233)	661	2	1.04	+	1.93	2.79E-01	1.00E00
cation binding (GO:0043169)	4348	13	6.83	+	1.90	1.56E-02	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	347	1	.55	+	1.83	4.24E-01	1.00E00
tubulin binding (GO:0015631)	351	1	.55	+	1.81	4.27E-01	1.00E00
protein domain specific binding (GO:0019904)	709	2	1.11	+	1.79	3.07E-01	1.00E00
transmembrane transporter activity (GO:0022857)	1069	3	1.68	+	1.79	2.36E-01	1.00E00
amide binding (GO:0033218)	362	1	.57	+	1.76	4.37E-01	1.00E00
DNA binding (GO:0003677)	2543	7	4.00	+	1.75	1.11E-01	1.00E00
phosphoric ester hydrolase activity (GO:0042578)	376	1	.59	+	1.69	4.50E-01	1.00E00
enzyme inhibitor activity (GO:0004857)	389	1	.61	+	1.64	4.61E-01	1.00E00
ubiquitin-protein transferase activity (GO:0004842)	393	1	.62	+	1.62	4.65E-01	1.00E00
transporter activity (GO:0005215)	1223	3	1.92	+	1.56	4.40E-01	1.00E00
nucleic acid binding (GO:0003676)	4144	10	6.51	+	1.54	1.29E-01	1.00E00
ion binding (GO:0043167)	6337	15	9.96	+	1.51	8.53E-02	1.00E00
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	433	1	.68	+	1.47	4.98E-01	1.00E00
DNA-binding transcription activator activity (GO:0001216)	434	1	.68	+	1.47	4.99E-01	1.00E00
G protein-coupled receptor activity (GO:0004930)	880	2	1.38	+	1.45	6.49E-01	1.00E00
drug binding (GO:0008144)	1766	4	2.78	+	1.44	3.55E-01	1.00E00
actin binding (GO:0003779)	443	1	.70	+	1.44	5.06E-01	1.00E00
heterocyclic compound binding (GO:1901363)	6091	13	9.57	+	1.36	1.85E-01	1.00E00
anion binding (GO:0043168)	2841	6	4.47	+	1.34	4.41E-01	1.00E00
organic cyclic compound binding (GO:0097159)	6178	13	9.71	+	1.34	2.50E-01	1.00E00
transferase activity (GO:0016740)	2384	5	3.75	+	1.33	4.16E-01	1.00E00
cell adhesion molecule binding (GO:0050839)	499	1	.78	+	1.28	5.48E-01	1.00E00
ATP binding (GO:0005524)	1508	3	2.37	+	1.27	5.12E-01	1.00E00
protein binding (GO:0005515)	12106	24	19.03	+	1.26	1.11E-01	1.00E00
cofactor binding (GO:0048037)	522	1	.82	+	1.22	5.65E-01	1.00E00
adenyl ribonucleotide binding (GO:0032559)	1567	3	2.46	+	1.22	7.34E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	1578	3	2.48	+	1.21	7.35E-01	1.00E00
binding (GO:0005488)	15320	29	24.08	+	1.20	7.47E-02	1.00E00
enzyme regulator activity (GO:0030234)	1058	2	1.66	+	1.20	6.82E-01	1.00E00
signaling receptor binding (GO:0005102)	1675	3	2.63	+	1.14	7.45E-01	1.00E00
catalytic activity, acting on a protein (GO:0140096)	2259	4	3.55	+	1.13	7.76E-01	1.00E00
molecular_function (GO:0003674)	17722	31	27.85	+	1.11	1.54E-01	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	1860	3	2.92	+	1.03	1.00E00	1.00E00
small molecule binding (GO:0036094)	2566	4	4.03	-	.99	1.00E00	1.00E00
purine ribonucleotide binding (GO:0032555)	1926	3	3.03	-	.99	1.00E00	1.00E00
hydrolase activity (GO:0016787)	2580	4	4.06	-	.99	1.00E00	1.00E00
purine nucleotide binding (GO:0017076)	1939	3	3.05	-	.98	1.00E00	1.00E00
ribonucleotide binding (GO:0032553)	1942	3	3.05	-	.98	1.00E00	1.00E00
catalytic activity (GO:0003824)	5881	9	9.24	-	.97	1.00E00	1.00E00
transmembrane signaling receptor activity (GO:0004888)	1308	2	2.06	-	.97	1.00E00	1.00E00
structural molecule activity (GO:0005198)	699	1	1.10	-	.91	1.00E00	1.00E00
calcium ion binding (GO:0005509)	724	1	1.14	-	.88	1.00E00	1.00E00
nucleotide binding (GO:0000166)	2180	3	3.43	-	.88	1.00E00	1.00E00
nucleoside phosphate binding (GO:1901265)	2181	3	3.43	-	.88	1.00E00	1.00E00
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	727	1	1.14	-	.88	1.00E00	1.00E00
carbohydrate derivative binding (GO:0097367)	2271	3	3.57	-	.84	1.00E00	1.00E00
signaling receptor activity (GO:0038023)	1516	2	2.38	-	.84	1.00E00	1.00E00
molecular transducer activity (GO:0060089)	1525	2	2.40	-	.83	1.00E00	1.00E00
hydrolase activity, acting on ester bonds (GO:0016788)	768	1	1.21	-	.83	1.00E00	1.00E00
oxidoreductase activity (GO:0016491)	772	1	1.21	-	.82	1.00E00	1.00E00
kinase activity (GO:0016301)	808	1	1.27	-	.79	1.00E00	1.00E00
RNA binding (GO:0003723)	1679	2	2.64	-	.76	1.00E00	1.00E00
molecular function regulator (GO:0098772)	1860	2	2.92	-	.68	7.65E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	991	1	1.56	-	.64	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	3274	2	5.15	-	.39	1.54E-01	1.00E00
growth hormone receptor binding (GO:0005131)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
granulocyte colony-stimulating factor receptor binding (GO:0005130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
14-3-3 protein binding (GO:0071889)	32	0	.05	-	 < 0.01	1.00E00	1.00E00
neuromedin U binding (GO:0042924)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neuropeptide binding (GO:0042923)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
neuromedin U receptor binding (GO:0042922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding (GO:0071886)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal protein N-methyltransferase activity (GO:0071885)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor binding (GO:0005129)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor binding (GO:0005128)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor binding (GO:0005127)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cytokine receptor binding (GO:0005126)	286	0	.45	-	 < 0.01	1.00E00	1.00E00
cytokine activity (GO:0005125)	220	0	.35	-	 < 0.01	1.00E00	1.00E00
scavenger receptor binding (GO:0005124)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
death receptor binding (GO:0005123)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
Toll binding (GO:0005121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactosylceramide 4-alpha-galactosyltransferase activity (GO:0050512)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
