




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Synthesis of Dolichyl-phosphate (R-HSA-446199)	6	1	.03	+	31.81	3.59E-02	1.00E00
Regulation of beta-cell development (R-HSA-186712)	39	6	.20	+	29.37	1.21E-07	2.64E-04
Neurofascin interactions (R-HSA-447043)	7	1	.04	+	27.27	4.09E-02	1.00E00
NrCAM interactions (R-HSA-447038)	7	1	.04	+	27.27	4.09E-02	1.00E00
Reversal of alkylation damage by DNA dioxygenases (R-HSA-73943)	7	1	.04	+	27.27	4.09E-02	1.00E00
Zinc efflux and compartmentalization by the SLC30 family (R-HSA-435368)	7	1	.04	+	27.27	4.09E-02	1.00E00
SHC-related events triggered by IGF1R (R-HSA-2428933)	7	1	.04	+	27.27	4.09E-02	1.00E00
ChREBP activates metabolic gene expression (R-HSA-163765)	7	1	.04	+	27.27	4.09E-02	1.00E00
Binding of TCF/LEF:CTNNB1 to target gene promoters (R-HSA-4411364)	8	1	.04	+	23.86	4.59E-02	1.00E00
DNA Damage Reversal (R-HSA-73942)	8	1	.04	+	23.86	4.59E-02	1.00E00
RUNX3 regulates WNT signaling (R-HSA-8951430)	8	1	.04	+	23.86	4.59E-02	1.00E00
Phase 3 - rapid repolarisation (R-HSA-5576890)	8	1	.04	+	23.86	4.59E-02	1.00E00
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1 (R-HSA-8849469)	9	1	.05	+	21.21	5.09E-02	1.00E00
Effects of PIP2 hydrolysis (R-HSA-114508)	27	3	.14	+	21.21	5.05E-04	2.76E-01
Calcineurin activates NFAT (R-HSA-2025928)	9	1	.05	+	21.21	5.09E-02	1.00E00
Signal attenuation (R-HSA-74749)	9	1	.05	+	21.21	5.09E-02	1.00E00
Signaling by FGFR4 in disease (R-HSA-5655291)	10	1	.05	+	19.09	5.59E-02	1.00E00
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs) (R-HSA-8877330)	10	1	.05	+	19.09	5.59E-02	1.00E00
CLEC7A (Dectin-1) induces NFAT activation (R-HSA-5607763)	11	1	.06	+	17.35	6.08E-02	1.00E00
Oncogene Induced Senescence (R-HSA-2559585)	33	3	.17	+	17.35	8.68E-04	3.80E-01
CD28 dependent Vav1 pathway (R-HSA-389359)	11	1	.06	+	17.35	6.08E-02	1.00E00
FGFR4 ligand binding and activation (R-HSA-190322)	12	1	.06	+	15.91	6.57E-02	1.00E00
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation (R-HSA-2892247)	12	1	.06	+	15.91	6.57E-02	1.00E00
Tandem pore domain potassium channels (R-HSA-1296346)	12	1	.06	+	15.91	6.57E-02	1.00E00
Phospholipase C-mediated cascade; FGFR4 (R-HSA-5654228)	13	1	.07	+	14.68	7.06E-02	1.00E00
Insulin processing (R-HSA-264876)	27	2	.14	+	14.14	9.97E-03	1.00E00
Negative regulation of FGFR4 signaling (R-HSA-5654733)	27	2	.14	+	14.14	9.97E-03	1.00E00
Regulation of Glucokinase by Glucokinase Regulatory Protein (R-HSA-170822)	28	2	.15	+	13.63	1.06E-02	8.97E-01
Activated point mutants of FGFR2 (R-HSA-2033519)	14	1	.07	+	13.63	7.54E-02	1.00E00
Spry regulation of FGF signaling (R-HSA-1295596)	14	1	.07	+	13.63	7.54E-02	1.00E00
Rap1 signalling (R-HSA-392517)	15	1	.08	+	12.72	8.02E-02	1.00E00
Platelet Adhesion to exposed collagen (R-HSA-75892)	15	1	.08	+	12.72	8.02E-02	1.00E00
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells (R-HSA-210744)	16	1	.08	+	11.93	8.50E-02	1.00E00
SHC-mediated cascade:FGFR4 (R-HSA-5654719)	16	1	.08	+	11.93	8.50E-02	1.00E00
Glucagon-type ligand receptors (R-HSA-420092)	33	2	.17	+	11.57	1.43E-02	1.00E00
Tie2 Signaling (R-HSA-210993)	17	1	.09	+	11.23	8.98E-02	1.00E00
Zinc transporters (R-HSA-435354)	17	1	.09	+	11.23	8.98E-02	1.00E00
PI-3K cascade:FGFR4 (R-HSA-5654720)	17	1	.09	+	11.23	8.98E-02	1.00E00
Signaling by high-kinase activity BRAF mutants (R-HSA-6802948)	36	2	.19	+	10.60	1.67E-02	1.00E00
Synthesis, secretion, and deacylation of Ghrelin (R-HSA-422085)	18	1	.09	+	10.60	9.46E-02	1.00E00
Signaling by FGFR4 (R-HSA-5654743)	36	2	.19	+	10.60	1.67E-02	1.00E00
Other semaphorin interactions (R-HSA-416700)	19	1	.10	+	10.05	9.93E-02	1.00E00
Signaling by FGFR2 IIIa TM (R-HSA-8851708)	19	1	.10	+	10.05	9.93E-02	1.00E00
Nicotinamide salvaging (R-HSA-197264)	19	1	.10	+	10.05	9.93E-02	1.00E00
Signaling by Hippo (R-HSA-2028269)	19	1	.10	+	10.05	9.93E-02	1.00E00
RHO GTPases activate CIT (R-HSA-5625900)	19	1	.10	+	10.05	9.93E-02	1.00E00
FRS-mediated FGFR4 signaling (R-HSA-5654712)	19	1	.10	+	10.05	9.93E-02	1.00E00
Phase 4 - resting membrane potential (R-HSA-5576886)	19	1	.10	+	10.05	9.93E-02	1.00E00
Nuclear Receptor transcription pathway (R-HSA-383280)	39	2	.20	+	9.79	1.93E-02	1.00E00
Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (R-HSA-381771)	20	1	.10	+	9.54	1.04E-01	1.00E00
CTLA4 inhibitory signaling (R-HSA-389513)	20	1	.10	+	9.54	1.04E-01	1.00E00
MAP2K and MAPK activation (R-HSA-5674135)	40	2	.21	+	9.54	2.02E-02	1.00E00
Paradoxical activation of RAF signaling by kinase inactive BRAF (R-HSA-6802955)	40	2	.21	+	9.54	2.02E-02	1.00E00
Signaling by moderate kinase activity BRAF mutants (R-HSA-6802946)	40	2	.21	+	9.54	2.02E-02	1.00E00
Deactivation of the beta-catenin transactivating complex (R-HSA-3769402)	42	2	.22	+	9.09	2.21E-02	1.00E00
G1 Phase (R-HSA-69236)	43	2	.23	+	8.88	2.30E-02	1.00E00
Cyclin D associated events in G1 (R-HSA-69231)	43	2	.23	+	8.88	2.30E-02	1.00E00
Glycolysis (R-HSA-70171)	66	3	.35	+	8.68	5.62E-03	8.21E-01
RAF-independent MAPK1/3 activation (R-HSA-112409)	22	1	.12	+	8.68	1.13E-01	1.00E00
CD28 dependent PI3K/Akt signaling (R-HSA-389357)	22	1	.12	+	8.68	1.13E-01	1.00E00
IRS-related events triggered by IGF1R (R-HSA-2428928)	44	2	.23	+	8.68	2.40E-02	1.00E00
IGF1R signaling cascade (R-HSA-2428924)	44	2	.23	+	8.68	2.40E-02	1.00E00
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) (R-HSA-2404192)	45	2	.24	+	8.48	2.50E-02	1.00E00
Insulin receptor signalling cascade (R-HSA-74751)	46	2	.24	+	8.30	2.60E-02	1.00E00
Negative regulation of FGFR3 signaling (R-HSA-5654732)	23	1	.12	+	8.30	1.18E-01	1.00E00
Downstream signaling of activated FGFR4 (R-HSA-5654716)	23	1	.12	+	8.30	1.18E-01	1.00E00
Incretin synthesis, secretion, and inactivation (R-HSA-400508)	23	1	.12	+	8.30	1.18E-01	1.00E00
Glutamate Neurotransmitter Release Cycle (R-HSA-210500)	23	1	.12	+	8.30	1.18E-01	1.00E00
SUMOylation of intracellular receptors (R-HSA-4090294)	24	1	.13	+	7.95	1.23E-01	1.00E00
EGFR downregulation (R-HSA-182971)	24	1	.13	+	7.95	1.23E-01	1.00E00
WNT ligand biogenesis and trafficking (R-HSA-3238698)	26	1	.14	+	7.34	1.32E-01	1.00E00
Integrin signaling (R-HSA-9006921)	26	1	.14	+	7.34	1.32E-01	1.00E00
Metal ion SLC transporters (R-HSA-425410)	26	1	.14	+	7.34	1.32E-01	1.00E00
Insulin receptor recycling (R-HSA-77387)	26	1	.14	+	7.34	1.32E-01	1.00E00
Negative regulation of FGFR1 signaling (R-HSA-5654726)	26	1	.14	+	7.34	1.32E-01	1.00E00
Integrin alphaIIb beta3 signaling (R-HSA-354192)	26	1	.14	+	7.34	1.32E-01	1.00E00
Signaling by RAS mutants (R-HSA-6802949)	53	2	.28	+	7.20	3.34E-02	1.00E00
Downstream signaling events of B Cell Receptor (BCR) (R-HSA-1168372)	81	3	.42	+	7.07	9.67E-03	1.00E00
XBP1(S) activates chaperone genes (R-HSA-381038)	54	2	.28	+	7.07	3.45E-02	1.00E00
Phase 2 - plateau phase (R-HSA-5576893)	27	1	.14	+	7.07	1.36E-01	1.00E00
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling (R-HSA-6811558)	82	3	.43	+	6.98	9.98E-03	1.00E00
Degradation of beta-catenin by the destruction complex (R-HSA-195253)	82	3	.43	+	6.98	9.98E-03	1.00E00
Constitutive Signaling by Aberrant PI3K in Cancer (R-HSA-2219530)	55	2	.29	+	6.94	3.57E-02	1.00E00
IRE1alpha activates chaperones (R-HSA-381070)	56	2	.29	+	6.82	3.68E-02	1.00E00
Negative regulation of FGFR2 signaling (R-HSA-5654727)	28	1	.15	+	6.82	1.41E-01	1.00E00
Glucose metabolism (R-HSA-70326)	85	3	.45	+	6.74	1.10E-02	8.90E-01
Peptide hormone metabolism (R-HSA-2980736)	86	3	.45	+	6.66	1.13E-02	8.85E-01
Signaling by FGFR in disease (R-HSA-1226099)	58	2	.30	+	6.58	3.92E-02	1.00E00
Negative regulation of the PI3K/AKT network (R-HSA-199418)	89	3	.47	+	6.43	1.24E-02	9.34E-01
FGFR2 mutant receptor activation (R-HSA-1839126)	30	1	.16	+	6.36	1.50E-01	1.00E00
Signaling by BRAF and RAF fusions (R-HSA-6802952)	60	2	.31	+	6.36	4.16E-02	1.00E00
Laminin interactions (R-HSA-3000157)	30	1	.16	+	6.36	1.50E-01	1.00E00
Formation of the beta-catenin:TCF transactivating complex (R-HSA-201722)	60	2	.31	+	6.36	4.16E-02	1.00E00
Nicotinate metabolism (R-HSA-196807)	31	1	.16	+	6.16	1.54E-01	1.00E00
CD28 co-stimulation (R-HSA-389356)	31	1	.16	+	6.16	1.54E-01	1.00E00
Interaction between L1 and Ankyrins (R-HSA-445095)	31	1	.16	+	6.16	1.54E-01	1.00E00
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription (R-HSA-2173796)	32	1	.17	+	5.96	1.59E-01	1.00E00
Signaling by FGFR3 (R-HSA-5654741)	33	1	.17	+	5.78	1.63E-01	1.00E00
SLC transporter disorders (R-HSA-5619102)	68	2	.36	+	5.61	5.17E-02	1.00E00
Transcriptional regulation of pluripotent stem cells (R-HSA-452723)	34	1	.18	+	5.61	1.67E-01	1.00E00
Signaling by WNT in cancer (R-HSA-4791275)	34	1	.18	+	5.61	1.67E-01	1.00E00
Signaling by Insulin receptor (R-HSA-74752)	70	2	.37	+	5.45	5.43E-02	1.00E00
Smooth Muscle Contraction (R-HSA-445355)	35	1	.18	+	5.45	1.72E-01	1.00E00
PI3K Cascade (R-HSA-109704)	36	1	.19	+	5.30	1.76E-01	1.00E00
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known (R-HSA-8939243)	36	1	.19	+	5.30	1.76E-01	1.00E00
Fanconi Anemia Pathway (R-HSA-6783310)	38	1	.20	+	5.02	1.85E-01	1.00E00
Oncogenic MAPK signaling (R-HSA-6802957)	76	2	.40	+	5.02	6.26E-02	1.00E00
Platelet Aggregation (Plug Formation) (R-HSA-76009)	38	1	.20	+	5.02	1.85E-01	1.00E00
RAF/MAP kinase cascade (R-HSA-5673001)	230	6	1.20	+	4.98	1.49E-03	3.63E-01
Signaling by FGFR (R-HSA-190236)	77	2	.40	+	4.96	6.40E-02	1.00E00
Synthesis of PA (R-HSA-1483166)	39	1	.20	+	4.89	1.89E-01	1.00E00
Signaling by FGFR2 in disease (R-HSA-5655253)	39	1	.20	+	4.89	1.89E-01	1.00E00
MAPK1/MAPK3 signaling (R-HSA-5684996)	235	6	1.23	+	4.87	1.66E-03	3.31E-01
Senescence-Associated Secretory Phenotype (SASP) (R-HSA-2559582)	79	2	.41	+	4.83	6.69E-02	1.00E00
Negative regulation of MAPK pathway (R-HSA-5675221)	40	1	.21	+	4.77	1.93E-01	1.00E00
IRS-mediated signalling (R-HSA-112399)	40	1	.21	+	4.77	1.93E-01	1.00E00
Class C/3 (Metabotropic glutamate/pheromone receptors) (R-HSA-420499)	40	1	.21	+	4.77	1.93E-01	1.00E00
PI3K/AKT Signaling in Cancer (R-HSA-2219528)	80	2	.42	+	4.77	6.83E-02	1.00E00
Signaling by FGFR1 (R-HSA-5654736)	42	1	.22	+	4.54	2.01E-01	1.00E00
Signaling by EGFR (R-HSA-177929)	42	1	.22	+	4.54	2.01E-01	1.00E00
tRNA modification in the nucleus and cytosol (R-HSA-6782315)	42	1	.22	+	4.54	2.01E-01	1.00E00
Transport of bile salts and organic acids, metal ions and amine compounds (R-HSA-425366)	86	2	.45	+	4.44	7.72E-02	1.00E00
Voltage gated Potassium channels (R-HSA-1296072)	43	1	.23	+	4.44	2.06E-01	1.00E00
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer (R-HSA-2173793)	44	1	.23	+	4.34	2.10E-01	1.00E00
NOTCH1 Intracellular Domain Regulates Transcription (R-HSA-2122947)	45	1	.24	+	4.24	2.14E-01	1.00E00
Interleukin-10 signaling (R-HSA-6783783)	45	1	.24	+	4.24	2.14E-01	1.00E00
MAPK family signaling cascades (R-HSA-5683057)	274	6	1.44	+	4.18	3.50E-03	5.48E-01
Oxidative Stress Induced Senescence (R-HSA-2559580)	92	2	.48	+	4.15	8.64E-02	1.00E00
Class B/2 (Secretin family receptors) (R-HSA-373080)	93	2	.49	+	4.10	8.80E-02	1.00E00
Transcriptional regulation by RUNX3 (R-HSA-8878159)	94	2	.49	+	4.06	8.96E-02	1.00E00
Unfolded Protein Response (UPR) (R-HSA-381119)	94	2	.49	+	4.06	8.96E-02	1.00E00
Disorders of transmembrane transporters (R-HSA-5619115)	144	3	.75	+	3.98	4.16E-02	1.00E00
PIP3 activates AKT signaling (R-HSA-1257604)	240	5	1.26	+	3.98	9.23E-03	1.00E00
CLEC7A (Dectin-1) signaling (R-HSA-5607764)	97	2	.51	+	3.94	9.43E-02	1.00E00
Retrograde transport at the Trans-Golgi-Network (R-HSA-6811440)	49	1	.26	+	3.90	2.30E-01	1.00E00
Mitotic G1-G1/S phases (R-HSA-453279)	148	3	.78	+	3.87	4.45E-02	1.00E00
Potassium Channels (R-HSA-1296071)	99	2	.52	+	3.86	9.76E-02	1.00E00
Cross-presentation of soluble exogenous antigens (endosomes) (R-HSA-1236978)	50	1	.26	+	3.82	2.34E-01	1.00E00
Neurotransmitter release cycle (R-HSA-112310)	50	1	.26	+	3.82	2.34E-01	1.00E00
Regulation of activated PAK-2p34 by proteasome mediated degradation (R-HSA-211733)	50	1	.26	+	3.82	2.34E-01	1.00E00
COPI-mediated anterograde transport (R-HSA-6807878)	101	2	.53	+	3.78	1.01E-01	1.00E00
Regulation of ornithine decarboxylase (ODC) (R-HSA-350562)	51	1	.27	+	3.74	2.38E-01	1.00E00
Diseases of signal transduction (R-HSA-5663202)	360	7	1.89	+	3.71	3.12E-03	5.27E-01
Signaling by Non-Receptor Tyrosine Kinases (R-HSA-9006927)	52	1	.27	+	3.67	2.42E-01	1.00E00
Vpu mediated degradation of CD4 (R-HSA-180534)	52	1	.27	+	3.67	2.42E-01	1.00E00
Signaling by PTK6 (R-HSA-8848021)	52	1	.27	+	3.67	2.42E-01	1.00E00
Autodegradation of the E3 ubiquitin ligase COP1 (R-HSA-349425)	52	1	.27	+	3.67	2.42E-01	1.00E00
Ubiquitin-dependent degradation of Cyclin D1 (R-HSA-69229)	52	1	.27	+	3.67	2.42E-01	1.00E00
Ubiquitin-dependent degradation of Cyclin D (R-HSA-75815)	52	1	.27	+	3.67	2.42E-01	1.00E00
G alpha (q) signalling events (R-HSA-416476)	209	4	1.09	+	3.65	2.54E-02	1.00E00
Regulation of Apoptosis (R-HSA-169911)	53	1	.28	+	3.60	2.46E-01	1.00E00
p53-Independent G1/S DNA damage checkpoint (R-HSA-69613)	53	1	.28	+	3.60	2.46E-01	1.00E00
p53-Independent DNA Damage Response (R-HSA-69610)	53	1	.28	+	3.60	2.46E-01	1.00E00
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A (R-HSA-69601)	53	1	.28	+	3.60	2.46E-01	1.00E00
Synthesis of PIPs at the plasma membrane (R-HSA-1660499)	53	1	.28	+	3.60	2.46E-01	1.00E00
Vif-mediated degradation of APOBEC3G (R-HSA-180585)	53	1	.28	+	3.60	2.46E-01	1.00E00
Negative regulation of NOTCH4 signaling (R-HSA-9604323)	53	1	.28	+	3.60	2.46E-01	1.00E00
Cellular Senescence (R-HSA-2559583)	162	3	.85	+	3.53	5.53E-02	1.00E00
Regulation of RUNX3 expression and activity (R-HSA-8941858)	54	1	.28	+	3.53	2.50E-01	1.00E00
AUF1 (hnRNP D0) binds and destabilizes mRNA (R-HSA-450408)	54	1	.28	+	3.53	2.50E-01	1.00E00
Intracellular signaling by second messengers (R-HSA-9006925)	271	5	1.42	+	3.52	1.48E-02	1.00E00
Integration of energy metabolism (R-HSA-163685)	109	2	.57	+	3.50	1.14E-01	1.00E00
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis (R-HSA-8854050)	55	1	.29	+	3.47	2.54E-01	1.00E00
Ion transport by P-type ATPases (R-HSA-936837)	55	1	.29	+	3.47	2.54E-01	1.00E00
SCF-beta-TrCP mediated degradation of Emi1 (R-HSA-174113)	55	1	.29	+	3.47	2.54E-01	1.00E00
Degradation of AXIN (R-HSA-4641257)	55	1	.29	+	3.47	2.54E-01	1.00E00
Stabilization of p53 (R-HSA-69541)	56	1	.29	+	3.41	2.58E-01	1.00E00
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD (R-HSA-5362768)	56	1	.29	+	3.41	2.58E-01	1.00E00
Degradation of DVL (R-HSA-4641258)	57	1	.30	+	3.35	2.62E-01	1.00E00
Signaling by the B Cell Receptor (BCR) (R-HSA-983705)	174	3	.91	+	3.29	6.54E-02	1.00E00
Regulation of PTEN gene transcription (R-HSA-8943724)	59	1	.31	+	3.24	2.69E-01	1.00E00
CDT1 association with the CDC6:ORC:origin complex (R-HSA-68827)	59	1	.31	+	3.24	2.69E-01	1.00E00
L1CAM interactions (R-HSA-373760)	118	2	.62	+	3.24	1.30E-01	1.00E00
Arachidonic acid metabolism (R-HSA-2142753)	59	1	.31	+	3.24	2.69E-01	1.00E00
NIK-->noncanonical NF-kB signaling (R-HSA-5676590)	59	1	.31	+	3.24	2.69E-01	1.00E00
Ca2+ pathway (R-HSA-4086398)	59	1	.31	+	3.24	2.69E-01	1.00E00
Hh mutants abrogate ligand secretion (R-HSA-5387390)	59	1	.31	+	3.24	2.69E-01	1.00E00
Peroxisomal protein import (R-HSA-9033241)	60	1	.31	+	3.18	2.73E-01	1.00E00
Dectin-1 mediated noncanonical NF-kB signaling (R-HSA-5607761)	60	1	.31	+	3.18	2.73E-01	1.00E00
SCF(Skp2)-mediated degradation of p27/p21 (R-HSA-187577)	60	1	.31	+	3.18	2.73E-01	1.00E00
GLI3 is processed to GLI3R by the proteasome (R-HSA-5610785)	60	1	.31	+	3.18	2.73E-01	1.00E00
Degradation of GLI2 by the proteasome (R-HSA-5610783)	60	1	.31	+	3.18	2.73E-01	1.00E00
Degradation of GLI1 by the proteasome (R-HSA-5610780)	60	1	.31	+	3.18	2.73E-01	1.00E00
Defective CFTR causes cystic fibrosis (R-HSA-5678895)	61	1	.32	+	3.13	2.77E-01	1.00E00
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) (R-HSA-381426)	124	2	.65	+	3.08	1.40E-01	1.00E00
Fc epsilon receptor (FCERI) signaling (R-HSA-2454202)	189	3	.99	+	3.03	7.91E-02	1.00E00
Synthesis of substrates in N-glycan biosythesis (R-HSA-446219)	63	1	.33	+	3.03	2.85E-01	1.00E00
Autodegradation of Cdh1 by Cdh1:APC/C (R-HSA-174084)	63	1	.33	+	3.03	2.85E-01	1.00E00
Semaphorin interactions (R-HSA-373755)	64	1	.34	+	2.98	2.88E-01	1.00E00
Asymmetric localization of PCP proteins (R-HSA-4608870)	64	1	.34	+	2.98	2.88E-01	1.00E00
Platelet activation, signaling and aggregation (R-HSA-76002)	259	4	1.36	+	2.95	4.89E-02	1.00E00
p53-Dependent G1/S DNA damage checkpoint (R-HSA-69580)	65	1	.34	+	2.94	2.92E-01	1.00E00
p53-Dependent G1 DNA Damage Response (R-HSA-69563)	65	1	.34	+	2.94	2.92E-01	1.00E00
Hedgehog ligand biogenesis (R-HSA-5358346)	65	1	.34	+	2.94	2.92E-01	1.00E00
Mitochondrial protein import (R-HSA-1268020)	65	1	.34	+	2.94	2.92E-01	1.00E00
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha (R-HSA-1234176)	66	1	.35	+	2.89	2.96E-01	1.00E00
Signaling by FGFR2 (R-HSA-5654738)	66	1	.35	+	2.89	2.96E-01	1.00E00
G1/S DNA Damage Checkpoints (R-HSA-69615)	67	1	.35	+	2.85	2.99E-01	1.00E00
Activation of NF-kappaB in B cells (R-HSA-1169091)	67	1	.35	+	2.85	2.99E-01	1.00E00
APC/C:Cdc20 mediated degradation of Securin (R-HSA-174154)	67	1	.35	+	2.85	2.99E-01	1.00E00
TCF dependent signaling in response to WNT (R-HSA-201681)	202	3	1.06	+	2.83	9.19E-02	1.00E00
Assembly of the pre-replicative complex (R-HSA-68867)	68	1	.36	+	2.81	3.03E-01	1.00E00
Muscle contraction (R-HSA-397014)	204	3	1.07	+	2.81	9.40E-02	1.00E00
Regulation of RAS by GAPs (R-HSA-5658442)	68	1	.36	+	2.81	3.03E-01	1.00E00
Ub-specific processing proteases (R-HSA-5689880)	205	3	1.07	+	2.79	9.50E-02	1.00E00
Transcriptional regulation by RUNX1 (R-HSA-8878171)	205	3	1.07	+	2.79	9.50E-02	1.00E00
PTEN Regulation (R-HSA-6807070)	138	2	.72	+	2.77	1.66E-01	1.00E00
Regulation of PTEN stability and activity (R-HSA-8948751)	69	1	.36	+	2.77	3.07E-01	1.00E00
Costimulation by the CD28 family (R-HSA-388841)	69	1	.36	+	2.77	3.07E-01	1.00E00
Cardiac conduction (R-HSA-5576891)	139	2	.73	+	2.75	1.67E-01	1.00E00
Amyloid fiber formation (R-HSA-977225)	70	1	.37	+	2.73	3.10E-01	1.00E00
C-type lectin receptors (CLRs) (R-HSA-5621481)	140	2	.73	+	2.73	1.69E-01	1.00E00
Regulation of RUNX2 expression and activity (R-HSA-8939902)	71	1	.37	+	2.69	3.14E-01	1.00E00
Signaling by NOTCH1 (R-HSA-1980143)	71	1	.37	+	2.69	3.14E-01	1.00E00
FCERI mediated NF-kB activation (R-HSA-2871837)	142	2	.74	+	2.69	1.73E-01	1.00E00
Orc1 removal from chromatin (R-HSA-68949)	71	1	.37	+	2.69	3.14E-01	1.00E00
Beta-catenin independent WNT signaling (R-HSA-3858494)	143	2	.75	+	2.67	1.75E-01	1.00E00
Signaling by TGF-beta Receptor Complex (R-HSA-170834)	72	1	.38	+	2.65	3.18E-01	1.00E00
CDK-mediated phosphorylation and removal of Cdc6 (R-HSA-69017)	72	1	.38	+	2.65	3.18E-01	1.00E00
Cdc20:Phospho-APC/C mediated degradation of Cyclin A (R-HSA-174184)	72	1	.38	+	2.65	3.18E-01	1.00E00
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 (R-HSA-174178)	72	1	.38	+	2.65	3.18E-01	1.00E00
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint (R-HSA-179419)	73	1	.38	+	2.61	3.21E-01	1.00E00
Signaling by WNT (R-HSA-195721)	297	4	1.56	+	2.57	7.27E-02	1.00E00
APC/C:Cdc20 mediated degradation of mitotic proteins (R-HSA-176409)	75	1	.39	+	2.54	3.28E-01	1.00E00
Regulation of Hypoxia-inducible Factor (HIF) by oxygen (R-HSA-1234174)	75	1	.39	+	2.54	3.28E-01	1.00E00
Cellular response to hypoxia (R-HSA-2262749)	75	1	.39	+	2.54	3.28E-01	1.00E00
