




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
AP-type membrane coat adaptor complex (GO:0030119)	42	1	.22	+	4.54	2.01E-01	1.00E00
leading edge membrane (GO:0031256)	174	4	.91	+	4.39	1.41E-02	1.00E00
mitochondrial nucleoid (GO:0042645)	44	1	.23	+	4.34	2.10E-01	1.00E00
nucleoid (GO:0009295)	44	1	.23	+	4.34	2.10E-01	1.00E00
basolateral plasma membrane (GO:0016323)	224	5	1.17	+	4.26	7.01E-03	6.12E-01
H4 histone acetyltransferase complex (GO:1902562)	46	1	.24	+	4.15	2.18E-01	1.00E00
integral component of mitochondrial inner membrane (GO:0031305)	46	1	.24	+	4.15	2.18E-01	1.00E00
intrinsic component of mitochondrial inner membrane (GO:0031304)	46	1	.24	+	4.15	2.18E-01	1.00E00
ruffle membrane (GO:0032587)	94	2	.49	+	4.06	8.96E-02	1.00E00
peptidase complex (GO:1905368)	94	2	.49	+	4.06	8.96E-02	1.00E00
transcription factor complex (GO:0005667)	379	8	1.99	+	4.03	9.58E-04	1.75E-01
intrinsic component of synaptic vesicle membrane (GO:0098563)	49	1	.26	+	3.90	2.30E-01	1.00E00
PML body (GO:0016605)	99	2	.52	+	3.86	9.76E-02	1.00E00
excitatory synapse (GO:0060076)	52	1	.27	+	3.67	2.42E-01	1.00E00
nuclear transcription factor complex (GO:0044798)	215	4	1.13	+	3.55	2.78E-02	1.00E00
microbody lumen (GO:0031907)	54	1	.28	+	3.53	2.50E-01	1.00E00
basal part of cell (GO:0045178)	54	1	.28	+	3.53	2.50E-01	1.00E00
peroxisomal matrix (GO:0005782)	54	1	.28	+	3.53	2.50E-01	1.00E00
axon cytoplasm (GO:1904115)	56	1	.29	+	3.41	2.58E-01	1.00E00
RNA polymerase II transcription factor complex (GO:0090575)	175	3	.92	+	3.27	6.62E-02	1.00E00
nuclear chromatin (GO:0000790)	1032	17	5.41	+	3.14	2.96E-05	9.91E-03
spindle microtubule (GO:0005876)	61	1	.32	+	3.13	2.77E-01	1.00E00
platelet alpha granule lumen (GO:0031093)	67	1	.35	+	2.85	2.99E-01	1.00E00
chromatin (GO:0000785)	1209	18	6.33	+	2.84	6.20E-05	1.78E-02
sarcoplasmic reticulum (GO:0016529)	71	1	.37	+	2.69	3.14E-01	1.00E00
cell division site (GO:0032153)	71	1	.37	+	2.69	3.14E-01	1.00E00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	72	1	.38	+	2.65	3.18E-01	1.00E00
histone deacetylase complex (GO:0000118)	72	1	.38	+	2.65	3.18E-01	1.00E00
cytoplasmic microtubule (GO:0005881)	72	1	.38	+	2.65	3.18E-01	1.00E00
intercellular bridge (GO:0045171)	73	1	.38	+	2.61	3.21E-01	1.00E00
integral component of mitochondrial membrane (GO:0032592)	74	1	.39	+	2.58	3.25E-01	1.00E00
nuclear chromosome (GO:0000228)	1262	17	6.61	+	2.57	3.28E-04	7.31E-02
intrinsic component of mitochondrial membrane (GO:0098573)	75	1	.39	+	2.54	3.28E-01	1.00E00
integral component of presynaptic membrane (GO:0099056)	76	1	.40	+	2.51	3.32E-01	1.00E00
nuclear envelope (GO:0005635)	474	6	2.48	+	2.42	3.98E-02	1.00E00
sarcoplasm (GO:0016528)	80	1	.42	+	2.39	3.46E-01	1.00E00
heterochromatin (GO:0000792)	80	1	.42	+	2.39	3.46E-01	1.00E00
trans-Golgi network (GO:0005802)	241	3	1.26	+	2.38	1.35E-01	1.00E00
cell projection membrane (GO:0031253)	331	4	1.73	+	2.31	9.81E-02	1.00E00
lipid droplet (GO:0005811)	83	1	.43	+	2.30	3.56E-01	1.00E00
neuron projection cytoplasm (GO:0120111)	84	1	.44	+	2.27	3.59E-01	1.00E00
intrinsic component of presynaptic membrane (GO:0098889)	85	1	.45	+	2.25	3.63E-01	1.00E00
rough endoplasmic reticulum (GO:0005791)	85	1	.45	+	2.25	3.63E-01	1.00E00
protein-DNA complex (GO:0032993)	172	2	.90	+	2.22	2.30E-01	1.00E00
Schaffer collateral - CA1 synapse (GO:0098685)	86	1	.45	+	2.22	3.66E-01	1.00E00
voltage-gated potassium channel complex (GO:0008076)	87	1	.46	+	2.19	3.69E-01	1.00E00
postsynaptic density membrane (GO:0098839)	87	1	.46	+	2.19	3.69E-01	1.00E00
histone acetyltransferase complex (GO:0000123)	87	1	.46	+	2.19	3.69E-01	1.00E00
ruffle (GO:0001726)	174	2	.91	+	2.19	2.34E-01	1.00E00
photoreceptor outer segment (GO:0001750)	89	1	.47	+	2.14	3.76E-01	1.00E00
axon (GO:0030424)	631	7	3.31	+	2.12	4.94E-02	1.00E00
platelet alpha granule (GO:0031091)	91	1	.48	+	2.10	3.82E-01	1.00E00
Golgi cisterna membrane (GO:0032580)	93	1	.49	+	2.05	3.89E-01	1.00E00
cortical actin cytoskeleton (GO:0030864)	93	1	.49	+	2.05	3.89E-01	1.00E00
membrane coat (GO:0030117)	95	1	.50	+	2.01	3.95E-01	1.00E00
coated membrane (GO:0048475)	95	1	.50	+	2.01	3.95E-01	1.00E00
chromosome (GO:0005694)	1715	18	8.99	+	2.00	4.48E-03	4.73E-01
potassium channel complex (GO:0034705)	96	1	.50	+	1.99	3.98E-01	1.00E00
protein acetyltransferase complex (GO:0031248)	97	1	.51	+	1.97	4.01E-01	1.00E00
acetyltransferase complex (GO:1902493)	97	1	.51	+	1.97	4.01E-01	1.00E00
organelle subcompartment (GO:0031984)	395	4	2.07	+	1.93	1.55E-01	1.00E00
Golgi lumen (GO:0005796)	99	1	.52	+	1.93	4.08E-01	1.00E00
endoplasmic reticulum membrane (GO:0005789)	1096	11	5.74	+	1.92	4.82E-02	1.00E00
nuclear membrane (GO:0031965)	302	3	1.58	+	1.90	2.13E-01	1.00E00
cell (GO:0005623)	1110	11	5.82	+	1.89	4.95E-02	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	1118	11	5.86	+	1.88	5.03E-02	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	204	2	1.07	+	1.87	2.91E-01	1.00E00
endoplasmic reticulum (GO:0005783)	1436	14	7.52	+	1.86	2.20E-02	1.00E00
cell leading edge (GO:0031252)	411	4	2.15	+	1.86	1.71E-01	1.00E00
transport vesicle (GO:0030133)	415	4	2.17	+	1.84	1.75E-01	1.00E00
external side of plasma membrane (GO:0009897)	423	4	2.22	+	1.80	2.89E-01	1.00E00
secretory granule lumen (GO:0034774)	320	3	1.68	+	1.79	2.38E-01	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	324	3	1.70	+	1.77	2.43E-01	1.00E00
vesicle lumen (GO:0031983)	326	3	1.71	+	1.76	2.46E-01	1.00E00
nuclear matrix (GO:0016363)	109	1	.57	+	1.75	4.38E-01	1.00E00
cell cortex (GO:0005938)	328	3	1.72	+	1.75	2.49E-01	1.00E00
transport vesicle membrane (GO:0030658)	221	2	1.16	+	1.73	3.24E-01	1.00E00
acrosomal vesicle (GO:0001669)	111	1	.58	+	1.72	4.44E-01	1.00E00
nuclear body (GO:0016604)	799	7	4.19	+	1.67	2.02E-01	1.00E00
exocytic vesicle membrane (GO:0099501)	115	1	.60	+	1.66	4.55E-01	1.00E00
synaptic vesicle membrane (GO:0030672)	115	1	.60	+	1.66	4.55E-01	1.00E00
postsynaptic specialization membrane (GO:0099634)	115	1	.60	+	1.66	4.55E-01	1.00E00
nuclear lumen (GO:0031981)	4758	41	24.93	+	1.64	5.52E-04	1.11E-01
photoreceptor cell cilium (GO:0097733)	117	1	.61	+	1.63	4.61E-01	1.00E00
Golgi cisterna (GO:0031985)	118	1	.62	+	1.62	4.64E-01	1.00E00
9+0 non-motile cilium (GO:0097731)	119	1	.62	+	1.60	4.67E-01	1.00E00
nucleus (GO:0005634)	7530	63	39.45	+	1.60	5.62E-06	2.26E-03
spindle (GO:0005819)	359	3	1.88	+	1.60	4.41E-01	1.00E00
axoneme (GO:0005930)	120	1	.63	+	1.59	4.70E-01	1.00E00
early endosome (GO:0005769)	360	3	1.89	+	1.59	4.41E-01	1.00E00
plasma membrane region (GO:0098590)	1206	10	6.32	+	1.58	1.46E-01	1.00E00
nucleoplasm (GO:0005654)	3990	33	20.90	+	1.58	5.00E-03	5.02E-01
ciliary plasm (GO:0097014)	121	1	.63	+	1.58	4.72E-01	1.00E00
cortical cytoskeleton (GO:0030863)	121	1	.63	+	1.58	4.72E-01	1.00E00
glutamatergic synapse (GO:0098978)	366	3	1.92	+	1.56	4.45E-01	1.00E00
Golgi apparatus (GO:0005794)	1587	13	8.31	+	1.56	1.02E-01	1.00E00
Golgi subcompartment (GO:0098791)	367	3	1.92	+	1.56	4.46E-01	1.00E00
neuron projection (GO:0043005)	1348	11	7.06	+	1.56	1.21E-01	1.00E00
axon terminus (GO:0043679)	123	1	.64	+	1.55	4.78E-01	1.00E00
cytoplasmic region (GO:0099568)	247	2	1.29	+	1.55	3.73E-01	1.00E00
ficolin-1-rich granule (GO:0101002)	124	1	.65	+	1.54	4.81E-01	1.00E00
ficolin-1-rich granule lumen (GO:1904813)	124	1	.65	+	1.54	4.81E-01	1.00E00
side of membrane (GO:0098552)	623	5	3.26	+	1.53	2.66E-01	1.00E00
Golgi membrane (GO:0000139)	755	6	3.96	+	1.52	2.96E-01	1.00E00
organelle lumen (GO:0043233)	5878	46	30.80	+	1.49	1.92E-03	2.76E-01
intracellular organelle lumen (GO:0070013)	5878	46	30.80	+	1.49	1.92E-03	2.57E-01
membrane-enclosed lumen (GO:0031974)	5878	46	30.80	+	1.49	1.92E-03	2.41E-01
intracellular membrane-bounded organelle (GO:0043231)	10912	84	57.17	+	1.47	2.31E-07	2.32E-04
endomembrane system (GO:0012505)	4547	35	23.82	+	1.47	1.43E-02	1.00E00
fibrillar center (GO:0001650)	130	1	.68	+	1.47	4.97E-01	1.00E00
Z disc (GO:0030018)	130	1	.68	+	1.47	4.97E-01	1.00E00
integral component of plasma membrane (GO:0005887)	1691	13	8.86	+	1.47	1.58E-01	1.00E00
receptor complex (GO:0043235)	523	4	2.74	+	1.46	3.57E-01	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	132	1	.69	+	1.45	5.02E-01	1.00E00
nuclear periphery (GO:0034399)	134	1	.70	+	1.42	5.07E-01	1.00E00
ciliary basal body (GO:0036064)	135	1	.71	+	1.41	5.10E-01	1.00E00
sarcolemma (GO:0042383)	135	1	.71	+	1.41	5.10E-01	1.00E00
nuclear speck (GO:0016607)	405	3	2.12	+	1.41	4.74E-01	1.00E00
cell surface (GO:0009986)	947	7	4.96	+	1.41	3.50E-01	1.00E00
intrinsic component of plasma membrane (GO:0031226)	1767	13	9.26	+	1.40	2.25E-01	1.00E00
membrane-bounded organelle (GO:0043227)	12629	92	66.16	+	1.39	1.35E-07	2.72E-04
inner mitochondrial membrane protein complex (GO:0098800)	138	1	.72	+	1.38	5.17E-01	1.00E00
cytoplasmic vesicle (GO:0031410)	2368	17	12.41	+	1.37	1.73E-01	1.00E00
intracellular vesicle (GO:0097708)	2371	17	12.42	+	1.37	1.73E-01	1.00E00
perikaryon (GO:0043204)	140	1	.73	+	1.36	5.23E-01	1.00E00
secretory granule (GO:0030141)	842	6	4.41	+	1.36	4.57E-01	1.00E00
intracellular organelle (GO:0043229)	12721	90	66.65	+	1.35	2.91E-06	1.46E-03
organelle membrane (GO:0031090)	3545	25	18.57	+	1.35	1.24E-01	1.00E00
neuron projection terminus (GO:0044306)	142	1	.74	+	1.34	5.28E-01	1.00E00
microbody (GO:0042579)	142	1	.74	+	1.34	5.28E-01	1.00E00
peroxisome (GO:0005777)	142	1	.74	+	1.34	5.28E-01	1.00E00
microtubule (GO:0005874)	429	3	2.25	+	1.33	4.94E-01	1.00E00
I band (GO:0031674)	143	1	.75	+	1.33	5.30E-01	1.00E00
secretory vesicle (GO:0099503)	1011	7	5.30	+	1.32	3.76E-01	1.00E00
cytosol (GO:0005829)	5211	36	27.30	+	1.32	6.02E-02	1.00E00
organelle (GO:0043226)	13759	95	72.08	+	1.32	1.44E-06	9.61E-04
ubiquitin ligase complex (GO:0000151)	291	2	1.52	+	1.31	6.67E-01	1.00E00
distal axon (GO:0150034)	297	2	1.56	+	1.29	6.71E-01	1.00E00
vesicle (GO:0031982)	3868	26	20.26	+	1.28	1.74E-01	1.00E00
cytoplasm (GO:0005737)	11491	77	60.20	+	1.28	1.42E-03	2.38E-01
intracellular non-membrane-bounded organelle (GO:0043232)	4927	33	25.81	+	1.28	1.14E-01	1.00E00
non-membrane-bounded organelle (GO:0043228)	4937	33	25.87	+	1.28	1.15E-01	1.00E00
synaptic membrane (GO:0097060)	449	3	2.35	+	1.28	5.12E-01	1.00E00
synapse (GO:0045202)	1363	9	7.14	+	1.26	4.37E-01	1.00E00
Golgi stack (GO:0005795)	152	1	.80	+	1.26	5.52E-01	1.00E00
non-motile cilium (GO:0097730)	153	1	.80	+	1.25	5.54E-01	1.00E00
endoplasmic reticulum lumen (GO:0005788)	307	2	1.61	+	1.24	6.77E-01	1.00E00
plasma membrane bounded cell projection (GO:0120025)	2158	14	11.31	+	1.24	4.29E-01	1.00E00
intracellular (GO:0005622)	14526	94	76.10	+	1.24	1.10E-04	2.77E-02
nucleolus (GO:0005730)	934	6	4.89	+	1.23	6.38E-01	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	312	2	1.63	+	1.22	6.80E-01	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	156	1	.82	+	1.22	5.61E-01	1.00E00
endosome (GO:0005768)	937	6	4.91	+	1.22	6.39E-01	1.00E00
cell projection (GO:0042995)	2230	14	11.68	+	1.20	4.39E-01	1.00E00
presynaptic membrane (GO:0042734)	160	1	.84	+	1.19	5.70E-01	1.00E00
membrane raft (GO:0045121)	320	2	1.68	+	1.19	6.86E-01	1.00E00
plasma membrane (GO:0005886)	5774	36	30.25	+	1.19	2.39E-01	1.00E00
membrane microdomain (GO:0098857)	321	2	1.68	+	1.19	6.86E-01	1.00E00
integral component of synaptic membrane (GO:0099699)	161	1	.84	+	1.19	5.72E-01	1.00E00
cullin-RING ubiquitin ligase complex (GO:0031461)	162	1	.85	+	1.18	5.75E-01	1.00E00
integral component of endoplasmic reticulum membrane (GO:0030176)	163	1	.85	+	1.17	5.77E-01	1.00E00
cell periphery (GO:0071944)	5900	36	30.91	+	1.16	2.88E-01	1.00E00
extrinsic component of plasma membrane (GO:0019897)	165	1	.86	+	1.16	5.81E-01	1.00E00
spindle pole (GO:0000922)	166	1	.87	+	1.15	5.84E-01	1.00E00
apical plasma membrane (GO:0016324)	333	2	1.74	+	1.15	6.95E-01	1.00E00
membrane region (GO:0098589)	333	2	1.74	+	1.15	6.95E-01	1.00E00
anchored component of membrane (GO:0031225)	168	1	.88	+	1.14	5.88E-01	1.00E00
postsynaptic membrane (GO:0045211)	341	2	1.79	+	1.12	7.00E-01	1.00E00
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	171	1	.90	+	1.12	5.94E-01	1.00E00
neuronal cell body (GO:0043025)	513	3	2.69	+	1.12	7.52E-01	1.00E00
envelope (GO:0031975)	1206	7	6.32	+	1.11	6.82E-01	1.00E00
organelle envelope (GO:0031967)	1206	7	6.32	+	1.11	6.82E-01	1.00E00
postsynaptic density (GO:0014069)	347	2	1.82	+	1.10	7.04E-01	1.00E00
intrinsic component of synaptic membrane (GO:0099240)	174	1	.91	+	1.10	6.01E-01	1.00E00
lytic vacuole (GO:0000323)	696	4	3.65	+	1.10	7.86E-01	1.00E00
lysosome (GO:0005764)	696	4	3.65	+	1.10	7.86E-01	1.00E00
actin cytoskeleton (GO:0015629)	523	3	2.74	+	1.09	7.56E-01	1.00E00
intrinsic component of membrane (GO:0031224)	5941	34	31.13	+	1.09	5.26E-01	1.00E00
plasma membrane protein complex (GO:0098797)	701	4	3.67	+	1.09	7.87E-01	1.00E00
presynapse (GO:0098793)	526	3	2.76	+	1.09	7.57E-01	1.00E00
integral component of membrane (GO:0016021)	5788	33	30.32	+	1.09	5.93E-01	1.00E00
asymmetric synapse (GO:0032279)	351	2	1.84	+	1.09	7.07E-01	1.00E00
cellular anatomical entity (GO:0110165)	18717	106	98.06	+	1.08	1.26E-02	1.00E00
cellular_component (GO:0005575)	18907	107	99.06	+	1.08	6.25E-03	5.70E-01
membrane (GO:0016020)	9884	55	51.78	+	1.06	5.66E-01	1.00E00
growth cone (GO:0030426)	180	1	.94	+	1.06	6.13E-01	1.00E00
midbody (GO:0030496)	182	1	.95	+	1.05	6.17E-01	1.00E00
cytoplasmic side of membrane (GO:0098562)	183	1	.96	+	1.04	6.19E-01	1.00E00
integral component of organelle membrane (GO:0031301)	371	2	1.94	+	1.03	7.22E-01	1.00E00
site of polarized growth (GO:0030427)	186	1	.97	+	1.03	6.25E-01	1.00E00
neuron to neuron synapse (GO:0098984)	372	2	1.95	+	1.03	7.22E-01	1.00E00
postsynaptic specialization (GO:0099572)	373	2	1.95	+	1.02	7.23E-01	1.00E00
membrane protein complex (GO:0098796)	1315	7	6.89	+	1.02	8.45E-01	1.00E00
bounding membrane of organelle (GO:0098588)	2096	11	10.98	+	1.00	1.00E00	1.00E00
cell body (GO:0044297)	583	3	3.05	-	.98	1.00E00	1.00E00
protein-containing complex (GO:0032991)	5498	28	28.80	-	.97	9.14E-01	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	786	4	4.12	-	.97	1.00E00	1.00E00
apical part of cell (GO:0045177)	399	2	2.09	-	.96	1.00E00	1.00E00
vacuole (GO:0005773)	798	4	4.18	-	.96	1.00E00	1.00E00
catalytic complex (GO:1902494)	1403	7	7.35	-	.95	1.00E00	1.00E00
intrinsic component of organelle membrane (GO:0031300)	402	2	2.11	-	.95	1.00E00	1.00E00
vesicle membrane (GO:0012506)	807	4	4.23	-	.95	1.00E00	1.00E00
transferase complex (GO:1990234)	807	4	4.23	-	.95	1.00E00	1.00E00
mitochondrion (GO:0005739)	1622	8	8.50	-	.94	1.00E00	1.00E00
sarcomere (GO:0030017)	207	1	1.08	-	.92	1.00E00	1.00E00
microtubule cytoskeleton (GO:0015630)	1247	6	6.53	-	.92	1.00E00	1.00E00
synaptic vesicle (GO:0008021)	209	1	1.09	-	.91	1.00E00	1.00E00
extracellular exosome (GO:0070062)	2098	10	10.99	-	.91	8.74E-01	1.00E00
extracellular vesicle (GO:1903561)	2119	10	11.10	-	.90	8.74E-01	1.00E00
somatodendritic compartment (GO:0036477)	849	4	4.45	-	.90	1.00E00	1.00E00
postsynapse (GO:0098794)	637	3	3.34	-	.90	1.00E00	1.00E00
extracellular organelle (GO:0043230)	2124	10	11.13	-	.90	8.74E-01	1.00E00
cation channel complex (GO:0034703)	221	1	1.16	-	.86	1.00E00	1.00E00
exocytic vesicle (GO:0070382)	226	1	1.18	-	.84	1.00E00	1.00E00
myofibril (GO:0030016)	228	1	1.19	-	.84	1.00E00	1.00E00
ribonucleoprotein granule (GO:0035770)	233	1	1.22	-	.82	1.00E00	1.00E00
contractile fiber (GO:0043292)	238	1	1.25	-	.80	1.00E00	1.00E00
whole membrane (GO:0098805)	1694	7	8.88	-	.79	7.24E-01	1.00E00
endosome membrane (GO:0010008)	487	2	2.55	-	.78	1.00E00	1.00E00
extracellular region (GO:0005576)	4388	18	22.99	-	.78	2.90E-01	1.00E00
supramolecular fiber (GO:0099512)	1003	4	5.25	-	.76	8.21E-01	1.00E00
cytoskeleton (GO:0005856)	2262	9	11.85	-	.76	4.43E-01	1.00E00
supramolecular polymer (GO:0099081)	1011	4	5.30	-	.76	8.21E-01	1.00E00
extracellular space (GO:0005615)	3349	13	17.55	-	.74	2.95E-01	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	774	3	4.06	-	.74	8.01E-01	1.00E00
supramolecular complex (GO:0099080)	1318	5	6.91	-	.72	5.58E-01	1.00E00
mitochondrial protein complex (GO:0098798)	267	1	1.40	-	.71	1.00E00	1.00E00
late endosome (GO:0005770)	271	1	1.42	-	.70	1.00E00	1.00E00
extrinsic component of membrane (GO:0019898)	297	1	1.56	-	.64	1.00E00	1.00E00
secretory granule membrane (GO:0030667)	301	1	1.58	-	.63	1.00E00	1.00E00
ion channel complex (GO:0034702)	304	1	1.59	-	.63	1.00E00	1.00E00
cilium (GO:0005929)	631	2	3.31	-	.60	7.76E-01	1.00E00
transmembrane transporter complex (GO:1902495)	328	1	1.72	-	.58	1.00E00	1.00E00
transporter complex (GO:1990351)	336	1	1.76	-	.57	1.00E00	1.00E00
perinuclear region of cytoplasm (GO:0048471)	726	2	3.80	-	.53	5.94E-01	1.00E00
lytic vacuole membrane (GO:0098852)	365	1	1.91	-	.52	1.00E00	1.00E00
lysosomal membrane (GO:0005765)	365	1	1.91	-	.52	1.00E00	1.00E00
collagen-containing extracellular matrix (GO:0062023)	408	1	2.14	-	.47	7.27E-01	1.00E00
focal adhesion (GO:0005925)	409	1	2.14	-	.47	7.27E-01	1.00E00
cell-substrate adherens junction (GO:0005924)	412	1	2.16	-	.46	7.28E-01	1.00E00
cell-substrate junction (GO:0030055)	416	1	2.18	-	.46	7.28E-01	1.00E00
vacuolar membrane (GO:0005774)	422	1	2.21	-	.45	7.29E-01	1.00E00
cell junction (GO:0030054)	1327	3	6.95	-	.43	1.64E-01	1.00E00
cell-cell junction (GO:0005911)	468	1	2.45	-	.41	5.24E-01	1.00E00
mitochondrial matrix (GO:0005759)	478	1	2.50	-	.40	5.24E-01	1.00E00
mitochondrial inner membrane (GO:0005743)	480	1	2.51	-	.40	5.24E-01	1.00E00
extracellular matrix (GO:0031012)	534	1	2.80	-	.36	5.33E-01	1.00E00
organelle inner membrane (GO:0019866)	542	1	2.84	-	.35	5.35E-01	1.00E00
adherens junction (GO:0005912)	552	1	2.89	-	.35	3.75E-01	1.00E00
anchoring junction (GO:0070161)	568	1	2.98	-	.34	3.76E-01	1.00E00
dendrite (GO:0030425)	613	1	3.21	-	.31	3.83E-01	1.00E00
dendritic tree (GO:0097447)	615	1	3.22	-	.31	3.84E-01	1.00E00
ribonucleoprotein complex (GO:1990904)	696	1	3.65	-	.27	2.74E-01	1.00E00
